epoch:0, train_loss:0.0673, val_loss:0.0648, train_F1:0.9401, val_F1:0.9416, train_prec:0.9080, val_prec:0.9088, train_recall:0.9746, val_recall:0.9768, train_auc:0.8420, val_auc:0.8600, train_pr:0.9725, val_pr:0.9760
epoch:1, train_loss:0.0626, val_loss:0.0633, train_F1:0.9439, val_F1:0.9430, train_prec:0.9145, val_prec:0.9111, train_recall:0.9752, val_recall:0.9772, train_auc:0.8695, val_auc:0.8670, train_pr:0.9780, val_pr:0.9774
epoch:2, train_loss:0.0604, val_loss:0.0637, train_F1:0.9455, val_F1:0.9438, train_prec:0.9173, val_prec:0.9093, train_recall:0.9755, val_recall:0.9810, train_auc:0.8793, val_auc:0.8691, train_pr:0.9799, val_pr:0.9777
epoch:3, train_loss:0.0586, val_loss:0.0628, train_F1:0.9470, val_F1:0.9446, train_prec:0.9193, val_prec:0.9120, train_recall:0.9764, val_recall:0.9795, train_auc:0.8861, val_auc:0.8726, train_pr:0.9812, val_pr:0.9784
epoch:4, train_loss:0.0571, val_loss:0.0616, train_F1:0.9484, val_F1:0.9440, train_prec:0.9215, val_prec:0.9179, train_recall:0.9769, val_recall:0.9717, train_auc:0.8928, val_auc:0.8751, train_pr:0.9824, val_pr:0.9791
epoch:5, train_loss:0.0559, val_loss:0.0614, train_F1:0.9496, val_F1:0.9443, train_prec:0.9231, val_prec:0.9185, train_recall:0.9778, val_recall:0.9717, train_auc:0.8984, val_auc:0.8759, train_pr:0.9834, val_pr:0.9793
epoch:6, train_loss:0.0543, val_loss:0.0613, train_F1:0.9509, val_F1:0.9432, train_prec:0.9249, val_prec:0.9232, train_recall:0.9784, val_recall:0.9642, train_auc:0.9040, val_auc:0.8768, train_pr:0.9844, val_pr:0.9794
epoch:7, train_loss:0.0535, val_loss:0.0619, train_F1:0.9519, val_F1:0.9446, train_prec:0.9266, val_prec:0.9192, train_recall:0.9786, val_recall:0.9714, train_auc:0.9086, val_auc:0.8776, train_pr:0.9852, val_pr:0.9796
epoch:8, train_loss:0.0524, val_loss:0.0621, train_F1:0.9531, val_F1:0.9453, train_prec:0.9284, val_prec:0.9168, train_recall:0.9791, val_recall:0.9756, train_auc:0.9130, val_auc:0.8768, train_pr:0.9859, val_pr:0.9793
epoch:9, train_loss:0.0510, val_loss:0.0613, train_F1:0.9542, val_F1:0.9449, train_prec:0.9296, val_prec:0.9192, train_recall:0.9802, val_recall:0.9721, train_auc:0.9180, val_auc:0.8783, train_pr:0.9867, val_pr:0.9797
epoch:10, train_loss:0.0498, val_loss:0.0609, train_F1:0.9559, val_F1:0.9437, train_prec:0.9322, val_prec:0.9224, train_recall:0.9808, val_recall:0.9660, train_auc:0.9235, val_auc:0.8791, train_pr:0.9876, val_pr:0.9799
epoch:11, train_loss:0.0483, val_loss:0.0618, train_F1:0.9573, val_F1:0.9434, train_prec:0.9338, val_prec:0.9236, train_recall:0.9819, val_recall:0.9641, train_auc:0.9277, val_auc:0.8785, train_pr:0.9884, val_pr:0.9798
epoch:12, train_loss:0.0472, val_loss:0.0615, train_F1:0.9583, val_F1:0.9436, train_prec:0.9353, val_prec:0.9251, train_recall:0.9825, val_recall:0.9628, train_auc:0.9320, val_auc:0.8784, train_pr:0.9891, val_pr:0.9798
epoch:13, train_loss:0.0459, val_loss:0.0633, train_F1:0.9597, val_F1:0.9398, train_prec:0.9374, val_prec:0.9296, train_recall:0.9830, val_recall:0.9502, train_auc:0.9361, val_auc:0.8779, train_pr:0.9897, val_pr:0.9798
epoch:14, train_loss:0.0446, val_loss:0.0628, train_F1:0.9609, val_F1:0.9416, train_prec:0.9389, val_prec:0.9271, train_recall:0.9840, val_recall:0.9565, train_auc:0.9405, val_auc:0.8779, train_pr:0.9905, val_pr:0.9798
