epoch:0, train_loss:0.0749, val_loss:0.0713, train_F1:0.9345, val_F1:0.9359, train_prec:0.8995, val_prec:0.9084, train_recall:0.9723, val_recall:0.9650, train_auc:0.7927, val_auc:0.8240, train_pr:0.9611, val_pr:0.9685, train_specificity:0.7890, val_specificity:0.7066
epoch:1, train_loss:0.0683, val_loss:0.0679, train_F1:0.9398, val_F1:0.9397, train_prec:0.9060, val_prec:0.9041, train_recall:0.9761, val_recall:0.9783, train_auc:0.8356, val_auc:0.8388, train_pr:0.9708, val_pr:0.9714, train_specificity:0.7352, val_specificity:0.7537
epoch:2, train_loss:0.0673, val_loss:0.0672, train_F1:0.9401, val_F1:0.9403, train_prec:0.9074, val_prec:0.9035, train_recall:0.9754, val_recall:0.9803, train_auc:0.8434, val_auc:0.8412, train_pr:0.9727, val_pr:0.9717, train_specificity:0.7230, val_specificity:0.7607
epoch:3, train_loss:0.0658, val_loss:0.0665, train_F1:0.9417, val_F1:0.9417, train_prec:0.9090, val_prec:0.9059, train_recall:0.9767, val_recall:0.9805, train_auc:0.8505, val_auc:0.8477, train_pr:0.9741, val_pr:0.9734, train_specificity:0.7101, val_specificity:0.7397
epoch:4, train_loss:0.0650, val_loss:0.0653, train_F1:0.9418, val_F1:0.9425, train_prec:0.9102, val_prec:0.9082, train_recall:0.9756, val_recall:0.9795, train_auc:0.8557, val_auc:0.8506, train_pr:0.9750, val_pr:0.9741, train_specificity:0.6991, val_specificity:0.7190
epoch:5, train_loss:0.0644, val_loss:0.0660, train_F1:0.9421, val_F1:0.9405, train_prec:0.9102, val_prec:0.9131, train_recall:0.9764, val_recall:0.9697, train_auc:0.8586, val_auc:0.8523, train_pr:0.9756, val_pr:0.9745, train_specificity:0.6996, val_specificity:0.6707
epoch:6, train_loss:0.0641, val_loss:0.0666, train_F1:0.9427, val_F1:0.9377, train_prec:0.9113, val_prec:0.9144, train_recall:0.9764, val_recall:0.9623, train_auc:0.8603, val_auc:0.8530, train_pr:0.9760, val_pr:0.9748, train_specificity:0.6898, val_specificity:0.6541
epoch:7, train_loss:0.0638, val_loss:0.0648, train_F1:0.9421, val_F1:0.9417, train_prec:0.9116, val_prec:0.9129, train_recall:0.9747, val_recall:0.9724, train_auc:0.8631, val_auc:0.8565, train_pr:0.9768, val_pr:0.9751, train_specificity:0.6862, val_specificity:0.6744
epoch:8, train_loss:0.0633, val_loss:0.0651, train_F1:0.9431, val_F1:0.9414, train_prec:0.9121, val_prec:0.9114, train_recall:0.9763, val_recall:0.9735, train_auc:0.8647, val_auc:0.8559, train_pr:0.9770, val_pr:0.9755, train_specificity:0.6836, val_specificity:0.6876
epoch:9, train_loss:0.0627, val_loss:0.0644, train_F1:0.9432, val_F1:0.9405, train_prec:0.9133, val_prec:0.9193, train_recall:0.9751, val_recall:0.9627, train_auc:0.8676, val_auc:0.8632, train_pr:0.9775, val_pr:0.9767, train_specificity:0.6724, val_specificity:0.6140
epoch:10, train_loss:0.0624, val_loss:0.0642, train_F1:0.9442, val_F1:0.9415, train_prec:0.9139, val_prec:0.9174, train_recall:0.9765, val_recall:0.9668, train_auc:0.8683, val_auc:0.8612, train_pr:0.9775, val_pr:0.9763, train_specificity:0.6678, val_specificity:0.6326
