epoch:70, train_loss:0.0573, val_loss:0.0577, train_F1:0.9488, val_F1:0.9431, train_prec:0.9284, val_prec:0.9473, train_recall:0.9702, val_recall:0.9390, train_auc:0.8889, val_auc:0.9058, train_pr:0.9809, val_pr:0.9846, train_specificity:0.5433, val_specificity:0.3798
epoch:71, train_loss:0.0529, val_loss:0.0570, train_F1:0.9514, val_F1:0.9526, train_prec:0.9373, val_prec:0.9259, train_recall:0.9660, val_recall:0.9808, train_auc:0.9099, val_auc:0.9089, train_pr:0.9848, val_pr:0.9831, train_specificity:0.4693, val_specificity:0.5698
epoch:72, train_loss:0.0508, val_loss:0.0593, train_F1:0.9528, val_F1:0.9439, train_prec:0.9410, val_prec:0.9380, train_recall:0.9648, val_recall:0.9498, train_auc:0.9181, val_auc:0.8873, train_pr:0.9864, val_pr:0.9810, train_specificity:0.4393, val_specificity:0.4562
epoch:73, train_loss:0.0499, val_loss:0.0513, train_F1:0.9537, val_F1:0.9529, train_prec:0.9432, val_prec:0.9495, train_recall:0.9645, val_recall:0.9563, train_auc:0.9222, val_auc:0.9207, train_pr:0.9871, val_pr:0.9866, train_specificity:0.4222, val_specificity:0.3694
epoch:74, train_loss:0.0486, val_loss:0.0547, train_F1:0.9545, val_F1:0.9544, train_prec:0.9447, val_prec:0.9315, train_recall:0.9645, val_recall:0.9786, train_auc:0.9273, val_auc:0.9146, train_pr:0.9881, val_pr:0.9846, train_specificity:0.4097, val_specificity:0.5231
epoch:75, train_loss:0.0480, val_loss:0.0693, train_F1:0.9551, val_F1:0.9133, train_prec:0.9454, val_prec:0.9691, train_recall:0.9649, val_recall:0.8636, train_auc:0.9283, val_auc:0.9170, train_pr:0.9883, val_pr:0.9867, train_specificity:0.4046, val_specificity:0.2000
epoch:76, train_loss:0.0474, val_loss:0.0493, train_F1:0.9551, val_F1:0.9548, train_prec:0.9449, val_prec:0.9460, train_recall:0.9654, val_recall:0.9638, train_auc:0.9314, val_auc:0.9238, train_pr:0.9890, val_pr:0.9871, train_specificity:0.4089, val_specificity:0.4000
epoch:77, train_loss:0.0467, val_loss:0.0505, train_F1:0.9558, val_F1:0.9556, train_prec:0.9462, val_prec:0.9382, train_recall:0.9656, val_recall:0.9736, train_auc:0.9333, val_auc:0.9209, train_pr:0.9893, val_pr:0.9861, train_specificity:0.3986, val_specificity:0.4657
epoch:78, train_loss:0.0461, val_loss:0.0492, train_F1:0.9564, val_F1:0.9514, train_prec:0.9470, val_prec:0.9516, train_recall:0.9660, val_recall:0.9511, train_auc:0.9349, val_auc:0.9273, train_pr:0.9895, val_pr:0.9882, train_specificity:0.3926, val_specificity:0.3512
epoch:79, train_loss:0.0460, val_loss:0.0500, train_F1:0.9568, val_F1:0.9520, train_prec:0.9475, val_prec:0.9503, train_recall:0.9662, val_recall:0.9537, train_auc:0.9361, val_auc:0.9236, train_pr:0.9897, val_pr:0.9870, train_specificity:0.3890, val_specificity:0.3624
epoch:80, train_loss:0.0450, val_loss:0.0485, train_F1:0.9576, val_F1:0.9550, train_prec:0.9484, val_prec:0.9458, train_recall:0.9670, val_recall:0.9644, train_auc:0.9383, val_auc:0.9268, train_pr:0.9901, val_pr:0.9878, train_specificity:0.3824, val_specificity:0.4017
epoch:81, train_loss:0.0449, val_loss:0.0484, train_F1:0.9573, val_F1:0.9553, train_prec:0.9487, val_prec:0.9483, train_recall:0.9661, val_recall:0.9625, train_auc:0.9385, val_auc:0.9260, train_pr:0.9900, val_pr:0.9871, train_specificity:0.3796, val_specificity:0.3814
epoch:82, train_loss:0.0445, val_loss:0.0480, train_F1:0.9578, val_F1:0.9552, train_prec:0.9491, val_prec:0.9472, train_recall:0.9667, val_recall:0.9634, train_auc:0.9400, val_auc:0.9268, train_pr:0.9906, val_pr:0.9876, train_specificity:0.3764, val_specificity:0.3905
epoch:83, train_loss:0.0445, val_loss:0.0479, train_F1:0.9577, val_F1:0.9545, train_prec:0.9485, val_prec:0.9471, train_recall:0.9671, val_recall:0.9620, train_auc:0.9400, val_auc:0.9294, train_pr:0.9905, val_pr:0.9885, train_specificity:0.3811, val_specificity:0.3905
epoch:84, train_loss:0.0443, val_loss:0.0491, train_F1:0.9577, val_F1:0.9531, train_prec:0.9490, val_prec:0.9491, train_recall:0.9666, val_recall:0.9571, train_auc:0.9426, val_auc:0.9262, train_pr:0.9910, val_pr:0.9877, train_specificity:0.3775, val_specificity:0.3727
epoch:85, train_loss:0.0443, val_loss:0.0485, train_F1:0.9579, val_F1:0.9541, train_prec:0.9491, val_prec:0.9490, train_recall:0.9669, val_recall:0.9592, train_auc:0.9418, val_auc:0.9266, train_pr:0.9908, val_pr:0.9877, train_specificity:0.3768, val_specificity:0.3744
