epoch:0, train_loss:0.5384, val_loss:0.4547, train_F1:0.9518, val_F1:0.9595, train_prec:0.9351, val_prec:0.9365, train_recall:0.9691, val_recall:0.9837, train_auc:0.9012, val_auc:0.9398, train_pr:0.9830, val_pr:0.9898, train_fpr:0.4884, val_fpr:0.4847
epoch:1, train_loss:0.3934, val_loss:0.3872, train_F1:0.9596, val_F1:0.9633, train_prec:0.9559, val_prec:0.9545, train_recall:0.9633, val_recall:0.9724, train_auc:0.9514, val_auc:0.9569, train_pr:0.9920, val_pr:0.9923, train_fpr:0.3231, val_fpr:0.3368
epoch:2, train_loss:0.3402, val_loss:0.3738, train_F1:0.9640, val_F1:0.9636, train_prec:0.9642, val_prec:0.9621, train_recall:0.9638, val_recall:0.9650, train_auc:0.9647, val_auc:0.9598, train_pr:0.9944, val_pr:0.9929, train_fpr:0.2596, val_fpr:0.2760
epoch:3, train_loss:0.3226, val_loss:0.3542, train_F1:0.9651, val_F1:0.9637, train_prec:0.9661, val_prec:0.9673, train_recall:0.9641, val_recall:0.9600, train_auc:0.9682, val_auc:0.9630, train_pr:0.9950, val_pr:0.9943, train_fpr:0.2456, val_fpr:0.2355
epoch:4, train_loss:0.2960, val_loss:0.3252, train_F1:0.9671, val_F1:0.9622, train_prec:0.9699, val_prec:0.9756, train_recall:0.9644, val_recall:0.9492, train_auc:0.9730, val_auc:0.9677, train_pr:0.9957, val_pr:0.9947, train_fpr:0.2174, val_fpr:0.1727
epoch:5, train_loss:0.2886, val_loss:0.3143, train_F1:0.9686, val_F1:0.9679, train_prec:0.9701, val_prec:0.9615, train_recall:0.9671, val_recall:0.9743, train_auc:0.9748, val_auc:0.9691, train_pr:0.9960, val_pr:0.9950, train_fpr:0.2165, val_fpr:0.2831
epoch:6, train_loss:0.2819, val_loss:0.3332, train_F1:0.9686, val_F1:0.9690, train_prec:0.9709, val_prec:0.9615, train_recall:0.9662, val_recall:0.9766, train_auc:0.9759, val_auc:0.9673, train_pr:0.9962, val_pr:0.9943, train_fpr:0.2102, val_fpr:0.2843
epoch:7, train_loss:0.2770, val_loss:0.3181, train_F1:0.9695, val_F1:0.9664, train_prec:0.9704, val_prec:0.9626, train_recall:0.9685, val_recall:0.9701, train_auc:0.9766, val_auc:0.9684, train_pr:0.9964, val_pr:0.9948, train_fpr:0.2142, val_fpr:0.2736
epoch:8, train_loss:0.2714, val_loss:0.3213, train_F1:0.9700, val_F1:0.9648, train_prec:0.9711, val_prec:0.9705, train_recall:0.9689, val_recall:0.9592, train_auc:0.9775, val_auc:0.9668, train_pr:0.9964, val_pr:0.9940, train_fpr:0.2094, val_fpr:0.2116
epoch:9, train_loss:0.2691, val_loss:0.3161, train_F1:0.9702, val_F1:0.9676, train_prec:0.9716, val_prec:0.9683, train_recall:0.9688, val_recall:0.9668, train_auc:0.9777, val_auc:0.9707, train_pr:0.9965, val_pr:0.9955, train_fpr:0.2059, val_fpr:0.2302
epoch:10, train_loss:0.2667, val_loss:0.3056, train_F1:0.9701, val_F1:0.9652, train_prec:0.9714, val_prec:0.9732, train_recall:0.9687, val_recall:0.9572, train_auc:0.9784, val_auc:0.9707, train_pr:0.9966, val_pr:0.9950, train_fpr:0.2073, val_fpr:0.1913
epoch:11, train_loss:0.2565, val_loss:0.3185, train_F1:0.9714, val_F1:0.9632, train_prec:0.9731, val_prec:0.9764, train_recall:0.9698, val_recall:0.9502, train_auc:0.9794, val_auc:0.9698, train_pr:0.9967, val_pr:0.9949, train_fpr:0.1948, val_fpr:0.1665
epoch:12, train_loss:0.2493, val_loss:0.3453, train_F1:0.9721, val_F1:0.9689, train_prec:0.9751, val_prec:0.9642, train_recall:0.9692, val_recall:0.9736, train_auc:0.9811, val_auc:0.9655, train_pr:0.9970, val_pr:0.9932, train_fpr:0.1800, val_fpr:0.2624
epoch:13, train_loss:0.2397, val_loss:0.3094, train_F1:0.9726, val_F1:0.9653, train_prec:0.9760, val_prec:0.9713, train_recall:0.9692, val_recall:0.9594, train_auc:0.9824, val_auc:0.9699, train_pr:0.9973, val_pr:0.9949, train_fpr:0.1734, val_fpr:0.2058
