epoch:6, train_loss:0.2819, val_loss:0.3332, train_F1:0.9686, val_F1:0.9690, train_prec:0.9709, val_prec:0.9615, train_recall:0.9662, val_recall:0.9766, train_auc:0.9759, val_auc:0.9673, train_pr:0.9962, val_pr:0.9943, train_fpr:0.2102, val_fpr:0.2843
epoch:7, train_loss:0.2770, val_loss:0.3181, train_F1:0.9695, val_F1:0.9664, train_prec:0.9704, val_prec:0.9626, train_recall:0.9685, val_recall:0.9701, train_auc:0.9766, val_auc:0.9684, train_pr:0.9964, val_pr:0.9948, train_fpr:0.2142, val_fpr:0.2736
epoch:8, train_loss:0.2714, val_loss:0.3213, train_F1:0.9700, val_F1:0.9648, train_prec:0.9711, val_prec:0.9705, train_recall:0.9689, val_recall:0.9592, train_auc:0.9775, val_auc:0.9668, train_pr:0.9964, val_pr:0.9940, train_fpr:0.2094, val_fpr:0.2116
epoch:9, train_loss:0.2691, val_loss:0.3161, train_F1:0.9702, val_F1:0.9676, train_prec:0.9716, val_prec:0.9683, train_recall:0.9688, val_recall:0.9668, train_auc:0.9777, val_auc:0.9707, train_pr:0.9965, val_pr:0.9955, train_fpr:0.2059, val_fpr:0.2302
epoch:10, train_loss:0.2667, val_loss:0.3056, train_F1:0.9701, val_F1:0.9652, train_prec:0.9714, val_prec:0.9732, train_recall:0.9687, val_recall:0.9572, train_auc:0.9784, val_auc:0.9707, train_pr:0.9966, val_pr:0.9950, train_fpr:0.2073, val_fpr:0.1913
epoch:11, train_loss:0.2565, val_loss:0.3185, train_F1:0.9714, val_F1:0.9632, train_prec:0.9731, val_prec:0.9764, train_recall:0.9698, val_recall:0.9502, train_auc:0.9794, val_auc:0.9698, train_pr:0.9967, val_pr:0.9949, train_fpr:0.1948, val_fpr:0.1665
epoch:12, train_loss:0.2493, val_loss:0.3453, train_F1:0.9721, val_F1:0.9689, train_prec:0.9751, val_prec:0.9642, train_recall:0.9692, val_recall:0.9736, train_auc:0.9811, val_auc:0.9655, train_pr:0.9970, val_pr:0.9932, train_fpr:0.1800, val_fpr:0.2624
epoch:13, train_loss:0.2397, val_loss:0.3094, train_F1:0.9726, val_F1:0.9653, train_prec:0.9760, val_prec:0.9713, train_recall:0.9692, val_recall:0.9594, train_auc:0.9824, val_auc:0.9699, train_pr:0.9973, val_pr:0.9949, train_fpr:0.1734, val_fpr:0.2058
epoch:14, train_loss:0.2368, val_loss:0.3107, train_F1:0.9730, val_F1:0.9690, train_prec:0.9759, val_prec:0.9626, train_recall:0.9702, val_recall:0.9756, train_auc:0.9830, val_auc:0.9698, train_pr:0.9973, val_pr:0.9948, train_fpr:0.1743, val_fpr:0.2756
epoch:15, train_loss:0.2297, val_loss:0.3027, train_F1:0.9746, val_F1:0.9670, train_prec:0.9759, val_prec:0.9704, train_recall:0.9733, val_recall:0.9636, train_auc:0.9839, val_auc:0.9717, train_pr:0.9975, val_pr:0.9953, train_fpr:0.1743, val_fpr:0.2132
epoch:16, train_loss:0.2170, val_loss:0.3181, train_F1:0.9751, val_F1:0.9670, train_prec:0.9780, val_prec:0.9710, train_recall:0.9722, val_recall:0.9631, train_auc:0.9856, val_auc:0.9695, train_pr:0.9977, val_pr:0.9944, train_fpr:0.1590, val_fpr:0.2091
epoch:17, train_loss:0.2034, val_loss:0.3355, train_F1:0.9768, val_F1:0.9689, train_prec:0.9797, val_prec:0.9680, train_recall:0.9739, val_recall:0.9698, train_auc:0.9869, val_auc:0.9668, train_pr:0.9979, val_pr:0.9934, train_fpr:0.1465, val_fpr:0.2326
epoch:18, train_loss:0.2028, val_loss:0.3259, train_F1:0.9776, val_F1:0.9682, train_prec:0.9812, val_prec:0.9631, train_recall:0.9741, val_recall:0.9734, train_auc:0.9874, val_auc:0.9675, train_pr:0.9980, val_pr:0.9938, train_fpr:0.1356, val_fpr:0.2711
